rundate,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_last_period,total_pax_percent,terminal_pax_this_period,terminal_pax_last_period,terminal_pax_percent,transit_pax_this_period,transit_pax_last_period,transit_pax_percent,date
1/22/2025 5:44:27 PM,202304,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,17684,17988,-1.690016,17684,17988,-1.690016,0,0,Null,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,TIREE,659,1083,-39.150508,656,1075,-38.976744,3,8,-62.500000,2024-04-01
1/22/2025 5:44:27 PM,202304,Other UK Airports,WICK JOHN O GROATS,887,890,-0.337079,887,890,-0.337079,0,0,Null,2024-04-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,ABERDEEN,203708,202154,0.768721,203708,202154,0.768721,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Non UK Reporting Airports,ALDERNEY,4560,4668,-2.313625,4560,4668,-2.313625,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BARRA,1186,1366,-13.17716,1186,1366,-13.17716,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BELFAST CITY (GEORGE BEST),210261,166854,26.014959,210261,166854,26.014959,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BELFAST INTERNATIONAL,631539,562200,12.333511,631539,562200,12.333511,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BENBECULA,2316,2914,-20.52162,2316,2898,-20.082816,0,16,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BIGGIN HILL,1300,850,52.941176,1300,850,52.941176,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BIRMINGHAM,1176265,1002343,17.351545,1176265,1002343,17.351545,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BLACKPOOL,1402,1245,12.610442,1402,1245,12.610442,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BOURNEMOUTH,113343,101150,12.054375,113343,101150,12.054375,0,0,Null,2024-05-01
7/29/2024 11:21:34 AM,202305,Other UK Airports,BRISTOL,1044874,957782,9.093092,1044847,957778,9.090729,27,4,575.000000,2024-05-01
